hip,hd,bayer,flam,con,mag,dist
88,224834,Tau,,Phe,5.71,181.8182
122,224889,The,,Oct,4.78,66.5779
145,224926,,29,Psc,5.13,139.2758
154,224935,,30,Psc,4.37,132.4503
171,224930,,85,Peg,5.8,12.1699
183,224990,Zet,,Scl,5.04,154.0832
186,224995,,31,Psc,6.33,122.8501
194,225003,,32,Psc,5.7,36.9004
301,225132,,2,Cet,4.55,83.4725
330,225180,,9,Cas,5.9,100000.0
355,225212,,3,Cet,4.99,641.0256
443,28,,33,Psc,4.61,39.4945
476,87,,86,Peg,5.55,114.2857
531,144,,10,Cas,5.57,265.9574
677,358,Alp,21,And,2.07,29.7442
729,448,,87,Peg,5.57,87.4126
746,432,Bet,11,Cas,2.28,16.7842
761,493,Kap-1,,Scl,5.42,77.4593
765,496,Eps,,Phe,3.88,44.2087
813,560,,34,Psc,5.54,93.633
814,636,Gam-3,,Oct,5.29,78.064
841,571,,22,And,5.01,377.3585
910,693,,6,Cet,4.89,18.7477
930,720,Kap-2,,Scl,5.41,243.309
950,739,The,,Scl,5.24,21.2766
1067,886,Gam,88,Peg,2.83,120.048
1086,905,,23,And,5.71,34.904
1168,1013,Chi,89,Peg,4.79,112.8668
1170,1038,,7,Cet,4.44,137.1742
1196,1061,,35,Psc,6.02,77.7605
1319,1227,,36,Psc,6.12,125.0
1340,1243,,37,Psc,7.46,106.4963
1366,1280,The,24,And,4.61,94.697
1392,1317,,38,Psc,6.66,15.186
1427,1352,,39,Psc,7.21,44.8229
1473,1404,Sig,25,And,4.51,41.3223
1501,1438,,26,And,6.1,202.8398
1562,1522,Iot,8,Cet,3.56,84.1751
1595,1563,,40,Psc,6.6,162.6016
1599,1581,Zet,,Tuc,4.23,8.5866
1645,1635,,41,Psc,5.38,125.0
1647,1685,Pi,,Tuc,5.5,97.561
1686,1671,Rho,27,And,5.16,48.5437
1708,1737,Iot,,Scl,5.18,101.3171
1772,1796,,42,Psc,6.25,153.8462
1803,1835,,9,Cet,6.39,20.8638
1948,2035,,43,Psc,6.48,180.5054
1960,2011,,12,Cas,5.38,215.0538
2006,2114,,44,Psc,5.77,144.0922
2021,2151,Bet,,Hyi,2.82,7.4588
2025,2140,,45,Psc,6.77,224.7191
2072,2262,Kap,,Phe,3.93,23.8095
2081,2261,Alp,,Phe,2.4,25.974
2100,2273,,10,Cet,6.16,138.3126
2210,2429,Eta,,Scl,4.86,138.5042
2213,2410,,46,Psc,6.4,172.117
2219,2411,,47,Psc,5.01,162.0746
2224,2436,,48,Psc,6.05,233.6449
2343,2629,,11,Cet,7.46,79.3021
2353,2637,,12,Cet,5.72,173.913
2355,2628,,28,And,5.2,62.7746
2415,2714,,49,Psc,6.83,105.8201
2472,2834,Lam-1,,Phe,4.76,52.9661
2474,2729,,13,Cas,6.18,233.1002
2484,2884,Bet-1,,Tuc,4.36,41.4079
2487,2885,Bet-2,,Tuc,4.53,51.6529
2505,2772,Lam,14,Cas,4.74,115.7407
2548,2913,,51,Psc,5.69,80.9717
2568,2910,,52,Psc,5.38,80.0
2578,3003,Bet-3,,Tuc,5.07,45.5581
2599,2905,Kap,15,Cas,4.17,100000.0
2629,3112,The,,Tuc,6.11,130.039
2707,3038,,16,Cas,6.47,189.7533
2762,3196,,13,Cet,5.2,21.254
2787,3229,,14,Cet,5.94,54.4959
2802,3302,Lam-2,,Phe,5.51,34.8189
2903,3379,,53,Psc,5.89,318.4713
2912,3369,Pi,29,And,4.34,183.4862
2920,3360,Zet,17,Cas,3.69,181.8182
2994,3512,,15,Cet,6.64,243.9024
3031,3546,Eps,30,And,4.34,50.226
3092,3627,Del,31,And,3.27,32.352
3093,3651,,54,Psc,5.88,11.0595
3138,3690,,55,Psc,5.36,127.0648
3179,3712,Alp,18,Cas,2.24,69.979
3231,3817,,32,And,5.3,108.8139
3245,3919,Mu,,Phe,4.59,75.358
3277,3980,Xi,,Phe,5.72,67.0241
3300,3901,Xi,19,Cas,4.8,438.5965
3330,4089,Rho,,Tuc,5.38,41.0341
3356,4065,Lam-1,,Scl,6.05,145.1379
3405,4150,Eta,,Phe,4.36,75.5287
3414,4058,Pi,20,Cas,4.95,53.6769
3419,4128,Bet,16,Cet,2.04,29.5334
3455,4188,Phi-1,17,Cet,4.77,71.6332
3456,4211,Lam-2,,Scl,5.9,103.8422
3504,4180,Omi,22,Cas,4.48,215.5172
3559,4307,,18,Cet,6.15,30.9981
3572,4161,,21,Cas,5.64,93.0233
3632,4408,,57,Psc,5.36,238.0952
3675,4482,,58,Psc,5.51,86.8056
3685,4490,,59,Psc,6.11,100.6036
3693,4502,Zet,34,And,4.08,58.0046
3697,4526,,60,Psc,5.98,141.2429
3721,4382,,23,Cas,5.42,236.4066
3730,4568,,61,Psc,6.51,57.0451
3760,4627,,62,Psc,5.92,177.6199
3781,4815,Lam,,Hyi,5.09,64.9351
3786,4656,Del,63,Psc,4.44,95.4198
3801,4636,Nu,25,Cas,4.9,126.2626
3810,4676,,64,Psc,5.07,23.4522
3821,4614,Eta,24,Cas,3.46,5.9531
